CODUG,SIGLA,CMA,CIDADE/ESTADO
160296,Ba Adm / Bda Inf Pqdt,CML,Rio de Janeiro/RJ
160297,Cmdo 1ª DE,CML,Rio de Janeiro/RJ
160298,Cmdo 1ª RM,CML,Rio de Janeiro/RJ
160299,Cmdo CML,CML,Rio de Janeiro/RJ
160301,CRO/1,CML,Rio de Janeiro/RJ
160303,Ba Adm Ap / 1ª RM,CML,Rio de Janeiro/RJ
160304,BMSA,CML,Rio de Janeiro/RJ
160307,1º D Sup,CML,Rio de Janeiro/RJ
160311,EsAO,CML,Rio de Janeiro/RJ
160312,EsACosAAe,CML,Rio de Janeiro/RJ
160313,ECEME,CML,Rio de Janeiro/RJ
160315,CCFEx / FSJ,CML,Rio de Janeiro/RJ
160317,EsIE,CML,Rio de Janeiro/RJ
160318,EsSLog,CML,Rio de Janeiro/RJ
160319,EsSEx,CML,Rio de Janeiro/RJ
160321,ECT,CML,Rio de Janeiro/RJ
160322,HCE,CML,Rio de Janeiro/RJ
160323,H Ge RJ,CML,Rio de Janeiro/RJ
160324,IBEx,CML,Rio de Janeiro/RJ
160327,IME,CML,Rio de Janeiro/RJ
160328,LQFEx,CML,Rio de Janeiro/RJ
160329,BCMS,CML,Rio de Janeiro/RJ
160332,PMPV,CML,Rio de Janeiro/RJ
160334,PMRJ,CML,Rio de Janeiro/RJ
160336,DF,CML,Rio de Janeiro/RJ
160338,1º Esqd C L,CML,Valença/RJ
160339,1º BEC,CMNE,Caicó/RN
160340,16º BI Mtz,CMNE,Natal/RN
160341,17º GAC,CMNE,Natal/RN
160342,Ba Adm Gu N,CMNE,Natal/RN
160343,7º BE Cmb,CMNE,Natal/RN
160344,Cmdo 7ª Bda Inf Mtz,CMNE,Natal/RN
160345,H Gu Natal,CMNE,Natal/RN
160346,Cmdo Fron-RO/6º BIS,CMA,Guajará-Mirim/RO
160348,5º BEC,CMA,Porto Velho/RO
160349,Cmdo 17ª Bda Inf SI,CMA,Porto Velho/RO
160350,17ª Ba Log,CMA,Porto Velho/RO
160351,H Gu PV,CMA,Porto Velho/RO
160352,Cmdo Fron-RR/7º BIS,CMA,Boa Vista/RR
160353,6º BEC,CMA,Boa Vista/RR
160354,10º B Log,CMS,Alegrete/RS
160356,12º BE Cmb Bld,CMS,Alegrete/RS
160357,12ª Cia Com Mec,CMS,Alegrete/RS
160358,6º RCB,CMS,Alegrete/RS
160359,H Gu Alegrete,CMS,Alegrete/RS
160360,6º B Com,CMS,Bento Gonçalves/RS
160361,25º GAC,CMS,Bagé/RS
160362,3º B Log,CMS,Bagé/RS
160363,3º RC Mec,CMS,Bagé/RS
160364,Cmdo 3ª Bda C Mec,CMS,Bagé/RS
160365,H Gu Bagé,CMS,Bagé/RS
160366,13º GAC,CMS,Cachoeira do Sul/RS
160367,3º BE Cmb,CMS,Cachoeira do Sul/RS
160368,3º B Sup,CMS,Nova Santa Rita/RS
